MON,DAY,ID,HR,MN,NAME
09,19,3CZp_CDcV_A,00,01,Luna
09,19,0IAOFXqyPnE,00,01,Flare
09,19,8HQywCN3Ms0,00,02,Coco
09,19,ivaf58kTVxc,00,02,Korone
09,19,T4ehE-1gdBE,00,31,Moona
09,19,DRljaj1t5EM,00,58,Ritsumei *
09,19,f5DoB8sgZkE,00,59,Matsuri
09,19,bpu2gHmluCA,01,02,Shion
09,19,ICZFtq0Hg5s,02,22,Temma *
09,19,2mVK5sNUFVY,03,15,Reda *
09,19,K7rQRj-jcdU,07,00,Ina
09,19,49FhMZ_8h1s,08,01,Towa
09,19,dswA84bw8I4,09,00,Shien *
09,19,nFEI1VTZeos,09,00,Amelia
09,19,keg90ItEEUg,10,28,Fubuki
09,19,kJStCORSqJI,10,37,Noel
09,19,gbFmjh8ucSo,11,00,Gura
09,19,hbRb-vPABws,12,00,Luna
09,19,Y2esPTdMDwU,12,00,Akirose
09,19,7R6XWsdPom8,12,00,Calli
09,19,1cnxquNhxAw,12,01,Temma *
09,19,TCyVS6p1-yc,12,03,Haato
09,19,-XZtHlKdSuk,12,30,Aruran *
09,19,HeVl8mxV9yU,12,59,Botan #
09,19,_TA2o2Yl45c,13,00,Sora
09,19,UkDZNeOs22Q,13,01,Reda *
09,19,wyjvTl8FMVE,13,02,Kiara
09,19,OemgFuxztY4,13,03,Pekora
09,19,ofIvZMLHuPE,14,00,Noel
09,19,5Dk-Y8ExVa8,14,59,Fubuki
09,19,EpxA0bsV2DQ,15,01,Haato
09,19,vnnkX7SDDJs,15,30,Roboco-san
09,19,fY1CQ5kSRxY,16,00,Roboco-san
09,19,KnApeAGjhVg,16,01,Flare
09,19,UV_tgiMmG1I,17,00,Calli
09,19,PluAdXwoboY,17,58,Miyabi *
09,19,Nr9QoxLtkO8,18,00,Rushia
09,19,qiy-F8qendc,19,00,Miko
09,19,ZKPByI95hH8,19,00,Kanata
09,19,uH3uknlca7Y,19,03,Mel
09,19,YcfZziSg0cg,19,15,Kanata
09,19,eGID6QCKk7U,19,58,Okayu
09,19,dtIuFVjPxmI,20,00,Marine
09,19,KPo5vaoe1Vo,20,01,Suisei
09,19,Q4VbqxfhHVU,20,23,Mio
09,19,AGfFDzKcBPY,21,00,Botan #
09,19,28DcqevqkXI,21,01,Haato
09,19,yjFm2qsp3Qg,21,01,Coco
09,19,8yw2UNvsI5E,21,59,Fubuki
09,19,bkrKmpu8nlw,22,02,ChocoSub
09,19,P-Kt74IZCAk,22,05,Lamy #
09,19,v-9-rWCx194,23,00,Iofi
09,19,GWFzxszaGIE,23,32,Roboco-san
09,20,H12GdRnZClY,00,01,Fubuki
09,20,uy6PCizyEiE,00,10,Rushia
09,20,IlKob966Gw4,00,15,Izuru *
09,20,EWNKpzg6q1s,01,00,Polka
09,20,W0c4Y9BDeCA,01,00,Haato
09,20,UyY9xMdjRTs,01,01,Roboco-san
09,20,_Z-5QIiX-FU,01,01,Luna
09,20,Ywg19wEg_DQ,01,01,Shion
09,20,zUg2dBSxBJU,01,02,Akirose
09,20,4IzP7ygmsCI,01,15,Iofi
09,20,9A5cwDs8dc8,02,55,Civia
09,20,xQv8ZkOBgng,03,00,Ouga
09,20,hLACkD3WMi4,07,58,Fubuki
09,20,rz9ZK_h7WUQ,09,21,Korone
09,20,Vqkd7R6pgoA,10,00,Noel
09,20,GQI4yf7ZgHU,10,01,Kiara
09,20,7IXAobPoevw,10,01,Subaru
09,20,s-6nBOmOkYo,12,00,Coco
09,20,nnE0fyh-E8w,12,00,Gura
09,20,n_GK9aFn-0Y,13,00,Robert
09,20,_eVKqwBhk3Q,13,01,Watame #
09,20,DDK7D1bxGPo,13,01,Haato
09,20,clmzXWJ_L3E,14,00,Aruran *
09,20,PQuPPOgpmJI,14,03,Subaru
09,20,i_Nadz9RElQ,15,15,Choco
09,20,eniTjpRzCG4,15,29,Roboco-san
09,20,1wWA5eNa5pk,16,50,Pekora
09,20,jsb8TAVa1oU,17,00,Izuru *
09,20,0hvo_86fhP8,18,00,Luna
09,20,4G53jeyhdaY,18,00,Rushia
09,20,WGm1b3ul3qw,18,00,Towa
09,20,6w_vMyPV5d0,20,00,Marine
09,20,LVnfkzGhDMs,20,00,Robert
09,20,J7_HnMChg_A,21,00,Coco
09,20,PxUwuhCZMuA,21,00,Watame #
09,20,R0djfABMCSM,21,00,Aruran *
09,20,TVN-nZmXcuA,22,00,Ouga
09,20,m7otY98E6YQ,22,00,Luna
09,20,BUyVnPShSZk,23,00,Ritsumei *
09,20,Y-Ed2rR5vSc,23,00,Noel
